LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA17550,13,16,11,36,96,306,296,166,115,38,1092,0,0,0,10,7,9,51,216,287,181,152,25,951,0,0,4,8,8,4,32,93,139,109,89,6,495,0,0,3,5,4,8,21,58,102,103,158,21,489,0,0,4,3,3,3,16,29,51,57,165,6,354,0,0,11,13,17,10,31,107,115,86,97,31,514,0,0,28,20,5,26,23,23,7,14,4,57,212,44,48,491,398,294,559,1086,2339,1761,999,1013,387,9422
LGA17620,4,7,11,27,60,28,11,0,5,11,164,3,0,13,13,10,22,44,41,7,0,0,12,167,0,0,0,0,0,11,17,19,6,0,3,6,67,0,0,0,7,4,10,16,14,12,0,0,6,80,0,0,0,0,0,3,11,18,9,5,0,4,44,0,0,0,3,0,10,7,19,3,0,0,5,54,0,0,0,7,9,4,11,0,0,0,0,10,37,18,9,89,167,122,239,336,195,61,8,16,113,1375
LGA17640,3,3,3,12,11,19,7,0,0,3,60,0,0,0,3,9,5,13,13,0,0,0,7,44,4,0,3,0,0,0,5,5,0,0,0,0,22,0,0,0,0,0,0,6,11,3,0,4,0,22,0,0,0,5,0,3,8,6,3,0,0,4,25,0,0,0,0,6,0,0,3,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,35,40,27,71,91,74,17,3,8,43,425
LGA17650,0,8,8,8,8,14,3,0,0,4,43,0,0,0,5,0,0,10,11,0,0,0,7,39,0,0,0,0,0,0,3,0,0,0,0,7,19,3,0,0,0,8,5,4,8,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,4,0,3,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,7,9,0,37,67,50,65,79,47,13,0,0,23,405
LGA17750,28,52,63,136,385,330,85,7,0,22,1103,0,0,3,45,34,116,265,332,101,20,5,33,961,3,0,0,17,15,59,107,162,67,16,0,9,464,0,4,3,6,13,56,97,160,91,11,5,12,458,5,6,12,8,10,24,28,88,80,20,19,17,305,0,0,7,20,15,39,79,104,49,7,6,22,353,3,7,21,34,8,16,23,11,4,0,4,60,180,56,89,458,778,668,1236,2131,1774,574,107,55,324,8264
LGA17850,3,3,4,7,3,0,0,0,0,6,29,0,0,3,3,4,3,0,0,0,0,0,0,19,0,0,0,0,4,0,3,0,0,0,0,6,10,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,0,0,0,3,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,5,8,3,3,40,43,32,45,26,6,0,0,0,31,242
LGA17900,4,4,9,5,4,0,0,0,0,9,58,19,0,0,4,12,10,0,0,0,0,0,6,57,10,0,0,0,3,8,0,0,0,0,0,0,23,14,6,0,4,7,6,0,6,0,0,3,6,44,15,0,4,5,0,3,4,0,0,0,0,6,37,6,0,3,3,0,3,7,0,0,0,0,6,32,0,0,0,7,0,0,0,0,0,0,0,4,15,95,22,48,113,74,87,27,9,3,0,6,80,574
LGA17950,5,12,6,7,9,0,0,0,0,4,29,0,0,0,0,3,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,6,0,0,0,0,19,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,18,0,0,5,4,0,0,0,0,0,0,0,0,5,3,7,32,39,48,32,29,13,4,0,3,17,231
LGA18020,15,18,20,18,8,0,0,0,0,10,93,3,3,13,9,9,25,7,0,0,0,0,6,72,3,0,3,0,3,0,0,3,0,0,0,4,20,4,3,0,4,9,5,7,0,0,0,0,0,30,0,0,3,0,0,3,6,0,0,0,0,4,22,0,0,5,3,9,3,3,0,0,0,0,4,29,0,0,0,8,7,0,0,0,0,0,0,5,17,25,28,111,161,118,130,64,10,3,3,4,93,752
LGA18050,0,4,3,7,33,188,316,332,437,21,1336,0,0,3,4,0,8,36,118,345,474,757,22,1775,0,0,0,0,0,3,22,28,101,234,472,16,888,0,0,3,4,4,7,19,35,154,380,1223,33,1863,0,0,3,3,7,11,14,54,144,340,3400,64,4044,3,0,5,0,4,8,18,15,41,82,396,56,620,0,0,12,6,0,3,0,9,9,15,38,69,175,31,33,217,103,83,112,350,996,1631,2266,7364,411,13592
LGA18100,0,8,4,3,0,0,0,0,0,0,20,0,0,0,3,12,4,3,0,0,0,0,0,18,0,0,0,3,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,10,26,4,43,60,54,57,12,6,0,0,5,13,276
LGA18200,0,4,8,6,11,8,0,0,0,3,51,3,0,5,4,0,5,5,4,0,0,0,5,38,0,0,3,0,3,0,0,10,0,0,0,0,25,3,0,0,0,0,0,0,7,0,0,0,0,15,0,0,5,0,5,7,0,0,0,0,0,4,15,0,0,4,5,7,3,5,0,5,0,0,0,29,0,0,0,5,8,0,0,0,0,0,0,10,15,28,8,64,119,98,73,55,32,9,4,8,36,534
LGA18250,0,4,9,9,35,180,383,226,260,31,1153,8,0,4,6,0,19,25,187,470,362,399,27,1507,0,0,3,0,3,9,13,50,202,192,245,11,726,3,0,4,5,4,8,20,64,312,404,537,29,1385,4,0,5,4,6,9,12,56,261,424,1676,34,2492,0,0,3,3,0,13,10,20,52,63,176,34,388,4,0,0,4,4,0,0,6,12,6,13,46,91,38,8,126,183,99,179,302,1103,2383,2114,3824,347,10710
LGA18350,11,3,7,23,39,140,131,77,32,21,479,0,4,4,5,10,14,37,102,127,86,47,17,452,0,0,3,6,3,0,16,47,82,69,46,6,279,0,0,3,0,5,7,8,38,82,69,62,9,282,0,0,0,3,4,8,12,22,41,64,150,10,313,0,0,0,3,3,0,12,45,41,33,33,17,190,0,0,3,16,0,8,7,7,9,0,0,25,70,9,17,72,234,138,222,404,872,808,521,465,195,3961
LGA18400,4,4,5,10,35,150,119,42,20,18,406,0,0,0,4,4,0,25,118,109,49,17,13,350,3,0,0,0,5,3,15,42,79,46,25,9,215,0,0,0,4,0,4,14,45,67,56,37,8,226,0,0,5,3,0,6,9,20,36,44,40,3,158,0,0,0,4,0,0,7,36,30,18,10,8,122,0,0,0,6,3,0,3,9,5,0,3,13,43,15,7,50,136,81,130,329,835,639,302,196,134,2846
LGA18450,31,49,53,119,354,1004,832,306,124,63,2933,0,0,12,21,31,56,187,813,865,460,186,37,2672,0,0,3,15,12,24,84,331,498,307,188,21,1482,4,0,6,10,16,33,68,276,459,401,267,27,1571,4,0,22,11,13,12,48,125,242,313,453,37,1272,9,7,30,51,23,36,80,242,267,231,159,65,1197,19,16,117,36,19,24,34,37,22,11,11,118,447,229,320,2369,1309,874,1462,3012,5873,4745,2550,1613,827,25180
LGA18500,3,4,5,8,29,114,182,160,254,19,787,0,0,0,0,0,7,29,99,206,224,383,21,977,0,0,0,0,0,0,11,13,50,95,226,6,405,4,0,0,5,4,9,14,31,80,219,608,20,979,0,0,5,0,3,4,12,31,85,216,2261,39,2665,0,0,0,0,0,0,11,12,26,53,320,21,446,0,0,0,0,0,0,0,4,4,3,19,27,66,16,4,66,55,37,100,304,647,969,1219,4544,227,8191
LGA18710,6,3,0,10,35,44,22,7,4,7,142,0,0,0,5,3,5,18,38,22,10,8,10,123,0,0,6,3,0,0,11,16,16,5,6,0,70,6,0,0,0,0,4,8,22,24,6,6,9,76,4,0,0,0,0,0,8,20,9,17,22,15,92,0,0,0,5,3,0,6,14,8,0,0,6,44,0,0,0,0,0,0,0,5,0,0,0,0,10,9,6,43,58,45,63,191,246,127,56,57,73,972
LGA19399,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,9,0,6,3,4,10,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,11,7,11,7,17,9,0,3,24,105
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
