LGA_CODE_2016,C11_85o_No_need_assist_M,C11_85o_No_need_assist_F,C11_85o_Need_assist_ns_M,C11_85o_Need_assist_ns_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_Total_Need_assist_M,C11_Total_Need_assist_F,C11_Total_No_need_assist_M,C11_Total_No_need_assist_F,C11_Total_Need_assist_ns_M,C11_Total_Need_assist_ns_F,C11_Total_T_M,C11_Total_T_F,C11_Total_T_P,C16_0_4_Need_assist_M,C16_0_4_Need_assist_F,C16_0_4_No_need_assist_M,C16_0_4_No_need_assist_F,C16_0_4_Need_assist_ns_M,C16_0_4_Need_assist_ns_F,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_14_Need_assist_M,C16_5_14_Need_assist_F,C16_5_14_No_need_assist_M,C16_5_14_No_need_assist_F,C16_5_14_Need_assist_ns_M,C16_5_14_Need_assist_ns_F,C16_5_14_T_M,C16_5_14_T_F,C16_5_14_T_P,C16_15_19_Need_assist_M,C16_15_19_Need_assist_F,C16_15_19_No_need_assist_M,C16_15_19_No_need_assist_F,C16_15_19_Need_assist_ns_M,C16_15_19_Need_assist_ns_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Need_assist_M,C16_20_24_Need_assist_F,C16_20_24_No_need_assist_M,C16_20_24_No_need_assist_F,C16_20_24_Need_assist_ns_M,C16_20_24_Need_assist_ns_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_34_Need_assist_M,C16_25_34_Need_assist_F,C16_25_34_No_need_assist_M,C16_25_34_No_need_assist_F,C16_25_34_Need_assist_ns_M,C16_25_34_Need_assist_ns_F,C16_25_34_T_M,C16_25_34_T_F,C16_25_34_T_P,C16_35_44_Need_assist_M,C16_35_44_Need_assist_F,C16_35_44_No_need_assist_M,C16_35_44_No_need_assist_F,C16_35_44_Need_assist_ns_M,C16_35_44_Need_assist_ns_F,C16_35_44_T_M,C16_35_44_T_F,C16_35_44_T_P,C16_45_54_Need_assist_M,C16_45_54_Need_assist_F,C16_45_54_No_need_assist_M,C16_45_54_No_need_assist_F,C16_45_54_Need_assist_ns_M,C16_45_54_Need_assist_ns_F,C16_45_54_T_M,C16_45_54_T_F,C16_45_54_T_P,C16_55_64_Need_assist_M,C16_55_64_Need_assist_F,C16_55_64_No_need_assist_M,C16_55_64_No_need_assist_F,C16_55_64_Need_assist_ns_M,C16_55_64_Need_assist_ns_F,C16_55_64_T_M,C16_55_64_T_F,C16_55_64_T_P,C16_65_74_Need_assist_M,C16_65_74_Need_assist_F,C16_65_74_No_need_assist_M,C16_65_74_No_need_assist_F,C16_65_74_Need_assist_ns_M,C16_65_74_Need_assist_ns_F,C16_65_74_T_M,C16_65_74_T_F,C16_65_74_T_P,C16_75_84_Need_assist_M,C16_75_84_Need_assist_F,C16_75_84_No_need_assist_M,C16_75_84_No_need_assist_F,C16_75_84_Need_assist_ns_M,C16_75_84_Need_assist_ns_F,C16_75_84_T_M,C16_75_84_T_F,C16_75_84_T_P,C16_85o_Need_assist_M,C16_85o_Need_assist_F,C16_85o_No_need_assist_M,C16_85o_No_need_assist_F,C16_85o_Need_assist_ns_M,C16_85o_Need_assist_ns_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_Total_Need_assist_M,C16_Total_Need_assist_F,C16_Total_No_need_assist_M,C16_Total_No_need_assist_F,C16_Total_Need_assist_ns_M,C16_Total_Need_assist_ns_F,C16_Total_T_M,C16_Total_T_F,C16_Total_T_P
LGA15520,57,59,9,11,110,143,252,292,285,4877,4843,348,271,5521,5398,10918,0,0,305,285,25,21,333,306,638,20,10,604,625,52,52,675,684,1356,13,3,273,273,17,24,295,306,600,4,7,190,190,27,21,222,210,434,3,9,449,522,39,59,498,590,1089,18,8,491,508,54,33,563,553,1112,12,22,652,692,54,63,723,780,1496,50,39,794,766,91,85,937,885,1822,83,64,770,724,78,66,929,853,1784,70,80,369,375,48,56,485,505,994,39,98,92,84,11,22,140,204,341,314,337,4994,5052,485,491,5795,5881,11680
LGA15560,16,20,4,5,24,40,58,104,73,1759,1583,133,101,1996,1761,3753,0,0,106,87,18,9,122,96,218,5,3,265,204,44,42,316,254,569,5,4,122,95,17,15,144,109,251,6,0,84,65,11,3,109,68,174,3,3,198,180,25,31,224,210,436,5,8,181,191,34,27,220,229,448,10,6,230,225,29,28,271,269,542,10,13,250,206,26,29,291,244,535,22,18,151,143,20,22,196,180,373,15,25,82,78,6,8,108,111,220,10,13,16,25,0,0,24,41,70,94,92,1688,1507,240,217,2026,1812,3836
LGA15650,25,45,5,17,60,108,173,287,268,7068,6875,815,486,8162,7626,15793,10,3,587,544,49,46,648,588,1242,78,31,1072,1034,77,83,1236,1150,2383,15,7,453,434,34,33,504,481,988,18,10,417,445,51,29,481,486,975,24,18,989,989,180,69,1190,1081,2272,31,35,887,915,156,59,1069,1005,2077,38,46,998,972,129,86,1169,1098,2267,58,57,812,741,82,60,946,854,1801,57,42,531,524,59,59,641,622,1265,54,67,202,235,28,32,288,332,617,23,67,38,59,5,8,69,137,203,403,386,6987,6891,855,561,8243,7837,16086
LGA15700,142,138,15,26,264,363,626,789,768,7861,8363,449,424,9093,9551,18643,9,9,437,398,34,35,474,444,917,60,34,984,1000,89,81,1132,1119,2250,24,15,453,445,40,43,511,505,1015,21,11,345,319,36,31,404,355,758,44,29,586,684,44,64,679,778,1449,41,31,739,820,53,61,827,912,1740,82,81,983,1072,119,115,1182,1269,2449,148,124,1356,1442,125,122,1629,1694,3321,158,145,1227,1230,132,120,1511,1503,3015,107,134,580,586,90,81,775,803,1582,75,153,154,183,50,82,285,418,706,772,776,7837,8189,813,828,9421,9794,19212
LGA15750,40,53,9,13,91,138,231,325,295,5767,5752,386,396,6477,6445,12926,3,3,378,414,73,79,451,493,943,39,12,789,823,89,97,914,930,1845,12,7,374,305,45,45,423,351,777,3,0,287,278,38,40,330,318,648,6,5,613,705,72,91,691,800,1491,15,14,663,662,91,81,768,762,1529,23,34,786,729,99,99,900,859,1759,53,45,768,725,115,76,944,838,1785,48,46,553,519,70,68,675,630,1308,64,58,227,275,49,66,336,400,742,30,53,39,62,20,50,88,166,256,297,274,5472,5497,756,790,6528,6559,13084
LGA15800,29,50,3,10,54,111,160,220,180,2497,2597,200,210,2920,2985,5900,0,0,177,149,26,25,201,178,378,20,3,320,348,36,48,374,403,777,8,8,145,136,9,16,165,160,325,4,5,141,126,15,9,156,142,298,11,5,224,256,26,25,265,285,547,9,8,267,271,47,43,319,329,643,19,12,300,320,48,38,372,363,734,32,28,367,338,44,52,438,413,853,39,22,275,277,47,40,357,342,706,45,37,126,146,22,22,187,202,390,29,68,24,54,11,15,69,132,199,218,187,2366,2417,322,341,2901,2953,5853
LGA15850,23,30,0,12,33,60,99,132,141,2963,2970,192,187,3293,3293,6584,6,0,186,211,35,17,226,225,455,20,7,428,390,34,36,487,435,924,3,0,181,153,18,17,199,175,369,4,0,144,140,23,16,170,159,326,5,9,272,309,33,35,308,348,659,3,4,289,302,36,28,330,341,667,16,9,324,349,42,44,380,410,790,17,23,380,358,48,62,444,448,891,34,25,327,309,42,29,403,365,767,31,29,148,167,24,24,206,216,425,27,50,37,48,7,16,67,111,179,165,161,2712,2738,345,336,3214,3226,6444
LGA15900,637,953,112,203,1274,2590,3864,3821,4912,65359,67052,3980,3413,73152,75384,148534,84,38,4514,4083,206,190,4801,4308,9113,489,230,8017,7781,283,291,8790,8301,17088,188,115,4164,4065,198,170,4543,4357,8899,142,119,6397,6380,325,333,6867,6837,13701,246,218,11201,10973,699,562,12150,11754,23898,285,268,9074,9463,518,434,9875,10163,20042,475,485,8707,9048,569,463,9759,9994,19751,605,699,7810,8078,519,482,8939,9257,18200,614,646,5192,5633,416,405,6228,6684,12906,547,955,2481,2952,296,437,3321,4342,7666,496,1241,681,965,198,565,1372,2771,4148,4174,5024,68248,69419,4220,4324,76642,78766,155411
LGA15950,199,380,37,74,324,746,1075,434,738,26372,29240,2862,2649,29666,32621,62290,16,10,1823,1740,121,140,1960,1886,3846,45,17,2177,2196,132,130,2351,2342,4694,13,3,865,847,67,56,939,907,1850,7,12,1393,1695,168,165,1568,1870,3440,29,20,6921,7920,702,758,7650,8699,16352,40,41,5456,5818,495,474,5988,6333,12322,53,45,3512,3944,332,332,3895,4324,8222,62,74,2914,3518,292,316,3273,3907,7184,83,91,2418,2852,226,253,2727,3195,5927,99,183,977,1179,100,142,1182,1503,2680,119,340,217,334,44,93,384,769,1146,561,839,28669,32040,2681,2861,31910,35744,67658
LGA15990,1243,1804,146,299,2178,4079,6252,3206,4678,107601,111393,5620,5145,116427,121213,237640,76,31,7607,7223,392,350,8072,7602,15672,370,192,16548,15711,662,693,17578,16593,34180,127,102,7014,6531,342,304,7481,6932,14412,93,51,6038,5667,360,352,6485,6074,12554,156,139,13133,14288,904,955,14200,15379,29575,181,197,17266,18405,1077,1074,18525,19671,38197,266,279,16958,17923,1008,955,18234,19163,37397,316,380,12728,13402,797,800,13842,14581,28419,538,595,9491,10418,647,764,10672,11773,22440,817,1240,4719,5398,430,480,5965,7121,13078,904,2242,1373,1890,179,353,2456,4489,6945,3846,5432,112866,116864,6797,7080,123507,129370,252878
LGA16100,11,25,0,5,26,51,78,119,101,2331,2193,206,87,2657,2381,5041,0,0,122,135,19,22,145,153,297,19,3,284,262,32,27,332,295,628,7,3,156,148,23,20,184,168,354,3,3,112,93,85,10,207,110,318,7,5,198,194,64,19,263,221,487,10,4,240,230,52,26,292,269,560,8,9,329,307,52,50,393,365,757,25,20,296,322,30,38,350,378,725,20,19,321,313,50,51,391,380,768,13,28,118,97,18,24,149,142,298,17,40,19,18,8,7,44,65,112,126,125,2197,2130,430,286,2751,2543,5301
LGA16150,122,234,15,30,237,534,772,821,1056,16547,17367,1208,1052,18580,19477,38056,13,7,1462,1335,73,86,1553,1426,2981,132,59,2609,2435,172,142,2919,2638,5556,54,33,1203,1178,92,76,1349,1281,2627,33,18,979,1099,88,98,1092,1219,2312,58,63,2292,2566,187,191,2536,2818,5362,88,70,2237,2335,197,180,2525,2587,5109,112,117,2076,2316,197,177,2380,2608,4991,156,138,1951,2089,166,152,2269,2374,4646,153,141,1417,1649,124,139,1693,1929,3626,174,251,718,876,93,93,980,1224,2208,122,298,165,243,25,66,311,605,921,1097,1203,17098,18119,1418,1406,19615,20728,40344
LGA16200,59,91,5,17,124,249,370,435,469,6262,6455,494,471,7193,7399,14592,6,5,433,421,37,36,481,457,938,49,19,914,871,71,90,1031,984,2012,23,17,421,448,42,50,488,514,998,16,10,365,354,47,30,426,391,819,24,14,681,706,57,65,759,780,1539,30,27,641,714,73,73,745,815,1563,50,29,820,809,97,95,965,933,1899,48,60,823,836,93,81,969,976,1947,85,59,581,595,95,91,766,748,1511,74,110,294,347,51,76,418,531,951,50,144,83,99,25,39,154,283,438,451,494,6055,6203,686,723,7190,7416,14608
LGA16260,541,919,118,296,1056,2294,3348,3430,4206,86699,87229,7152,5305,97285,96735,194019,95,62,7707,7665,485,492,8290,8215,16506,361,174,12043,11321,625,568,13025,12071,25097,128,65,5583,5163,309,257,6020,5488,11507,111,86,7080,6432,678,475,7866,6998,14861,195,164,20363,21101,2194,1757,22756,23024,45775,276,236,16771,15804,1662,1100,18710,17141,35846,381,414,11731,12424,928,761,13031,13600,26638,550,621,9562,10310,696,638,10801,11568,22372,674,786,6126,6569,438,464,7235,7819,15054,809,1206,2918,3093,247,315,3973,4620,8595,577,1315,743,927,128,210,1453,2453,3898,4152,5134,100633,100819,8373,7042,113158,112996,226149
LGA16350,267,424,75,121,584,1311,1895,3607,4068,79600,81913,4889,4398,88090,90380,178465,143,73,6916,6480,435,426,7493,6988,14478,824,364,12128,12159,681,653,13629,13179,26806,266,138,6078,5828,382,337,6729,6303,13037,199,125,6361,6420,545,471,7106,7016,14119,283,261,13333,14109,1208,1104,14820,15473,30298,326,351,12201,12587,1040,954,13567,13892,27454,441,475,10769,11338,865,850,12076,12664,24736,630,726,9392,10068,716,694,10736,11486,22221,764,832,5925,5966,465,516,7156,7306,14463,625,947,1892,2173,208,280,2725,3403,6132,379,970,328,445,84,119,793,1529,2316,4881,5268,85321,87578,6621,6396,96822,99243,196066
LGA16380,505,670,74,145,906,1550,2453,2257,2568,31020,33639,1664,1554,34934,37760,72698,33,35,1764,1741,145,106,1946,1879,3820,294,158,4204,4122,261,237,4756,4517,9278,103,73,2017,1990,141,110,2256,2177,4438,70,31,1362,1400,114,110,1550,1541,3090,106,92,2799,3142,244,243,3152,3478,6634,169,110,3445,3892,246,240,3868,4242,8102,246,218,4199,4817,338,335,4780,5368,10149,373,316,4568,5281,372,366,5305,5956,11262,559,434,4693,5172,433,492,5681,6097,11782,461,620,2504,2808,280,322,3251,3751,7001,392,895,666,817,88,121,1145,1830,2981,2806,2985,32226,35179,2655,2683,37697,40846,78539
LGA16400,266,331,71,141,514,865,1379,1783,1783,28269,29415,1853,1701,31906,32899,64808,43,25,1757,1783,134,116,1932,1920,3849,285,118,3990,3792,253,232,4524,4144,8665,105,53,1859,1835,129,126,2091,2016,4111,45,36,1623,1545,165,120,1832,1703,3531,99,84,2915,3031,299,269,3308,3375,6687,128,101,3397,3644,294,273,3821,4020,7841,201,210,3987,4157,354,338,4542,4706,9249,313,297,3933,4351,388,388,4633,5037,9673,470,355,3847,4014,389,409,4706,4774,9484,361,425,1747,1764,235,264,2341,2457,4798,213,486,349,402,92,143,651,1026,1676,2263,2197,29405,30305,2720,2670,34384,35174,69556
LGA16490,73,160,22,23,161,389,548,798,943,23929,23895,1504,1274,26227,26114,52340,27,21,1770,1557,152,116,1951,1694,3648,123,68,3393,3268,217,239,3741,3574,7319,52,25,1654,1553,121,110,1828,1692,3523,35,31,1432,1483,125,128,1594,1644,3237,58,69,3404,3496,311,326,3778,3891,7666,68,77,3504,3634,335,281,3909,3987,7892,103,124,3977,4044,393,315,4471,4483,8956,147,148,3095,3022,293,262,3538,3436,6973,154,146,1828,1739,197,196,2177,2086,4267,148,183,671,695,88,89,907,969,1867,104,237,123,160,21,41,247,434,680,1018,1141,24863,24656,2249,2102,28133,27899,56027
LGA16550,473,696,102,152,955,1816,2776,1903,2902,55127,58056,6340,4663,63369,65625,128987,36,26,3576,3491,274,244,3882,3766,7645,173,79,6237,6061,377,383,6795,6516,13313,58,38,3760,3737,314,243,4128,4021,8150,53,48,6808,6720,794,555,7660,7325,14983,89,91,11627,12122,1545,1104,13259,13312,26573,112,117,9085,9692,1184,804,10384,10611,20992,155,186,7274,7894,897,596,8331,8672,17002,258,296,5413,5976,655,497,6326,6772,13097,304,385,3813,4326,504,424,4626,5138,9758,510,791,1889,2267,273,238,2670,3294,5967,469,1080,549,744,111,226,1129,2053,3181,2227,3134,60039,63029,6917,5316,69179,71482,140660
LGA16610,86,144,22,29,198,373,566,871,765,9472,9856,560,510,10903,11131,22038,11,4,616,629,46,54,676,695,1371,97,44,1325,1285,122,128,1542,1455,2997,38,34,660,647,75,52,778,729,1505,28,20,488,494,41,50,561,560,1116,43,31,849,897,85,74,979,1005,1984,47,51,1026,1109,114,128,1183,1289,2470,93,73,1220,1267,157,126,1471,1462,2939,141,124,1393,1381,127,148,1651,1651,3304,192,110,1130,1158,118,105,1436,1374,2808,128,170,592,649,70,59,795,884,1676,90,214,134,158,20,24,239,394,634,905,877,9434,9673,980,942,11318,11489,22807
LGA16650,379,620,64,115,822,1657,2475,2122,2985,42580,43245,3404,3000,48109,49234,97339,47,18,3155,3016,219,207,3417,3237,6656,160,72,5069,4868,311,288,5540,5230,10769,60,47,2570,2505,159,119,2790,2672,5468,43,40,3713,3757,281,257,4036,4054,8086,93,94,10190,10006,759,766,11039,10867,21905,132,119,7266,7201,558,474,7956,7792,15753,186,240,5823,6035,408,418,6418,6691,13115,307,406,4579,4933,343,339,5232,5677,10903,449,539,3329,3500,297,277,4065,4324,8389,603,936,1650,1866,207,282,2458,3084,5545,491,886,437,529,185,282,1117,1702,2817,2573,3394,47780,48226,3727,3717,54079,55325,109404
LGA16700,417,654,51,101,836,1661,2501,1893,2680,45732,47939,2440,2358,50058,52976,103040,48,16,3409,3317,164,164,3622,3498,7118,167,73,5785,5424,213,185,6171,5677,11848,71,25,2968,2815,142,113,3185,2953,6142,52,42,4423,4615,208,250,4687,4910,9595,95,82,9714,10236,503,551,10310,10868,21178,105,124,7959,8183,420,374,8477,8678,17161,203,205,6445,6964,335,313,6983,7472,14453,228,360,5263,5819,261,283,5754,6463,12214,302,383,3453,3774,189,220,3938,4376,8314,457,807,1728,2026,125,169,2305,3001,5306,510,1006,512,762,61,132,1079,1895,2972,2230,3108,51653,53938,2624,2749,56509,59791,116302
LGA16900,145,176,19,38,311,603,922,1720,2006,28210,29229,1234,1206,31159,32448,63604,43,15,2097,1939,130,110,2269,2067,4335,250,112,4265,4235,207,213,4715,4555,9269,106,54,2202,2143,101,107,2411,2306,4714,58,60,1986,1961,114,102,2155,2122,4276,113,98,3516,3848,218,219,3851,4163,8009,146,164,3794,4042,230,236,4169,4445,8611,187,244,3990,4305,268,252,4442,4797,9242,275,304,3541,3883,255,248,4075,4436,8509,373,383,2598,2721,221,230,3193,3338,6531,355,508,1167,1288,121,144,1638,1943,3579,241,515,251,271,41,59,538,839,1377,2141,2450,29398,30634,1907,1930,33444,35015,68460
LGA16950,527,603,92,161,1010,1562,2565,3173,3271,39363,41274,3170,2551,45712,47100,92812,61,28,2405,2283,177,171,2637,2484,5122,347,165,5021,4921,388,350,5754,5441,11193,129,89,2363,2332,214,182,2708,2602,5309,114,61,2052,1905,301,181,2469,2151,4622,171,117,3914,4157,611,345,4702,4607,9309,182,148,4236,4569,581,362,5006,5089,10088,337,345,5061,5552,543,463,5937,6365,12305,558,523,6280,6865,544,578,7380,7966,15353,730,635,6135,6349,572,556,7435,7541,14975,615,873,3034,3020,298,366,3945,4259,8210,497,910,670,761,139,189,1301,1861,3160,3748,3901,41178,42719,4356,3743,49284,50364,99650
LGA17000,36,57,3,12,79,188,266,399,429,10688,10176,559,442,11648,11046,22695,6,3,722,712,36,54,765,777,1537,76,40,1469,1474,143,119,1688,1637,3325,32,12,817,721,60,42,906,774,1683,26,8,753,603,51,32,825,647,1472,30,21,1338,1296,111,109,1480,1427,2904,29,33,1355,1401,121,122,1508,1555,3062,57,59,1506,1465,141,119,1700,1636,3336,59,76,1234,1152,118,125,1403,1348,2749,68,80,744,649,99,93,911,832,1741,91,93,276,293,45,49,408,432,839,52,115,47,88,9,23,114,226,343,513,534,10265,9863,928,891,11701,11288,22987
LGA17040,78,110,17,10,147,260,411,405,487,8758,8437,971,630,10132,9557,19691,5,6,470,410,38,27,510,441,959,42,29,1177,1065,88,104,1307,1196,2507,18,14,558,489,53,43,628,542,1175,9,12,500,431,76,52,584,485,1078,21,21,969,931,190,107,1174,1056,2236,22,22,1062,1057,183,118,1265,1194,2460,51,43,1284,1333,186,141,1528,1517,3039,58,52,1336,1215,128,109,1524,1373,2896,70,54,1001,943,113,93,1181,1087,2274,79,87,445,416,51,66,576,564,1144,49,115,92,115,31,60,174,285,460,425,460,8894,8390,1138,907,10461,9756,20218
LGA17080,69,101,14,17,130,224,353,326,388,6511,6275,482,314,7312,6978,14293,0,3,365,364,41,37,405,405,809,34,16,807,808,73,62,909,881,1793,11,11,359,329,23,36,396,374,777,12,8,296,282,36,31,340,319,658,4,15,612,621,125,57,746,693,1442,25,18,678,701,127,73,837,793,1627,32,33,855,802,119,87,1009,920,1933,53,57,902,919,111,107,1067,1091,2161,59,54,755,741,87,78,905,873,1781,52,66,394,359,60,58,500,482,987,43,100,73,114,40,61,159,276,430,327,382,6110,6039,845,698,7278,7119,14395
LGA17100,105,165,20,31,231,439,670,573,843,15693,15396,1399,1293,17660,17530,35187,14,0,1098,1017,113,80,1219,1095,2318,48,18,1843,1785,95,116,1989,1917,3909,16,13,1147,1134,70,57,1232,1206,2441,18,13,1858,1623,216,132,2089,1765,3854,43,17,4480,3960,449,358,4969,4331,9302,36,39,2458,2344,207,190,2699,2572,5278,54,61,2004,2265,140,156,2194,2476,4676,91,101,1694,1772,131,115,1920,1987,3912,123,145,965,985,71,70,1160,1203,2355,160,257,471,535,51,54,680,846,1521,123,287,132,155,25,22,280,474,752,727,956,18144,17567,1564,1355,20434,19874,40312
LGA17150,857,1317,136,294,1562,3035,4597,3110,4177,95794,99626,4262,3890,103168,107698,210862,77,47,6727,6265,245,255,7051,6568,13624,514,195,13399,12997,486,444,14400,13633,28029,184,111,6298,6040,248,246,6735,6397,13129,124,77,6125,5882,260,243,6508,6205,12714,178,155,11899,12659,658,689,12739,13508,26241,203,232,13708,14607,718,687,14631,15527,30160,257,295,13751,14633,687,675,14695,15609,30298,353,461,12254,12900,669,642,13275,14003,27277,539,639,8587,9258,467,499,9593,10393,19990,732,1160,3971,4600,278,328,4972,6085,11056,825,1988,1162,1599,128,233,2126,3827,5947,3985,5362,97886,101438,4842,4949,106713,111750,218464
LGA17200,238,336,83,211,482,960,1445,2031,2171,74545,67552,12991,10220,89566,79939,169506,20,11,3091,3073,386,392,3495,3478,6977,88,37,3086,3119,382,351,3561,3500,7063,39,28,3210,4049,517,529,3768,4603,8370,48,39,11209,13454,1981,1858,13236,15355,28589,160,139,30441,29158,4878,4096,35479,33390,68867,212,148,16237,12964,2559,1733,19004,14845,33856,328,269,10177,7810,1760,1124,12266,9199,21469,405,418,6907,6192,1219,938,8532,7547,16072,407,437,4286,3970,768,594,5460,5003,10462,422,606,1561,1548,353,367,2334,2524,4860,291,526,298,361,121,190,709,1075,1790,2422,2672,90505,85690,14919,12165,107852,100530,208374
LGA17310,181,333,35,58,387,801,1185,1434,1570,24518,25758,1570,1441,27523,28769,56291,39,7,1819,1706,170,168,2025,1877,3906,218,72,3705,3645,295,268,4215,3995,8206,61,49,1734,1637,153,119,1941,1810,3757,45,37,1426,1410,132,156,1594,1599,3195,75,72,3121,3301,326,297,3519,3671,7190,121,99,2889,3211,328,274,3341,3586,6927,156,149,3181,3521,312,305,3648,3978,7626,214,229,3155,3437,329,341,3695,4002,7694,285,239,2433,2658,271,269,3000,3162,6161,252,341,1194,1410,163,211,1609,1959,3566,177,405,261,403,57,137,493,942,1437,1641,1700,24919,26336,2519,2546,29077,30581,59663
LGA17350,19,53,0,10,42,128,168,181,209,2584,2591,108,100,2873,2903,5776,3,3,177,165,9,3,191,169,359,15,9,397,351,28,15,441,377,815,9,8,182,175,9,10,198,187,385,12,3,111,100,14,8,132,108,240,10,9,244,255,27,25,278,290,568,10,4,252,291,14,17,280,311,591,15,15,344,387,29,27,396,423,820,25,31,379,368,27,29,436,422,857,32,26,348,331,23,21,403,379,783,27,32,162,210,22,24,205,268,470,27,63,42,64,4,5,76,135,210,193,202,2644,2685,202,185,3036,3073,6110
LGA17400,22,35,8,8,54,100,157,241,224,2930,3007,220,184,3391,3422,6809,0,0,119,122,22,17,139,143,283,25,6,314,346,34,29,368,383,756,10,3,156,136,20,17,181,151,337,3,6,84,96,16,10,97,111,211,10,4,160,200,22,26,192,235,431,13,24,255,297,33,39,306,365,664,28,28,346,334,42,47,419,401,822,45,39,518,541,79,73,643,658,1299,43,28,468,454,76,68,584,549,1137,31,33,199,181,35,44,257,262,518,7,32,31,43,14,42,55,116,176,207,201,2658,2756,388,412,3253,3375,6628
LGA17420,289,372,30,47,506,963,1476,1654,2037,66279,67713,2196,2117,70127,71863,141995,40,32,4822,4595,138,135,5006,4765,9772,317,165,11630,11105,305,327,12250,11602,23856,136,69,5478,5228,164,176,5785,5474,11251,88,56,4850,4424,153,141,5093,4616,9709,121,115,7553,8068,295,351,7977,8531,16505,108,145,10700,11862,377,434,11185,12441,23631,159,185,10445,11032,447,421,11050,11632,22686,175,305,8468,8964,342,360,8982,9624,18615,333,393,6041,6250,264,300,6635,6941,13582,414,632,2194,2158,122,134,2727,2921,5649,300,720,414,473,33,58,748,1247,2000,2209,2818,72590,74146,2657,2834,77451,79791,157243
LGA17550,582,712,96,132,1120,1786,2902,2772,3091,36002,38786,2233,2211,41011,44091,85107,38,18,2299,2114,165,144,2503,2272,4779,247,118,4747,4732,384,326,5372,5176,10546,93,59,2291,2237,139,174,2526,2466,4990,66,41,1833,1698,160,135,2059,1876,3929,112,71,3534,3887,321,296,3964,4258,8219,135,132,4340,4883,389,393,4859,5406,10268,262,256,4919,5574,436,467,5615,6302,11917,470,413,5353,6252,554,546,6374,7212,13583,574,500,4858,5135,465,495,5898,6129,12026,584,778,2609,2917,299,348,3491,4040,7535,511,1055,783,828,153,250,1453,2132,3581,3087,3437,37564,40265,3462,3564,44109,47261,91371
LGA17620,45,73,3,17,98,190,286,295,316,6243,6228,330,348,6867,6892,13751,5,3,400,376,36,34,441,417,858,28,18,893,914,95,100,1014,1038,2054,12,4,371,356,24,40,398,406,804,0,5,289,293,33,30,320,328,650,10,8,691,783,79,86,783,883,1668,19,21,771,768,97,88,883,877,1756,19,27,800,830,86,88,904,948,1855,56,39,817,767,85,84,962,889,1849,75,57,615,556,66,67,756,675,1435,51,62,283,357,36,48,367,469,833,49,94,59,89,25,33,135,216,352,327,341,5986,6100,659,708,6970,7140,14112
LGA17640,35,31,5,6,65,83,149,187,198,3256,3238,164,147,3605,3590,7192,0,4,223,180,29,23,258,206,455,16,6,406,402,34,33,455,436,888,6,5,191,192,24,17,220,214,438,8,3,131,125,15,14,154,140,297,4,7,255,299,24,29,292,339,631,14,10,343,345,26,34,383,390,777,21,24,516,501,58,70,595,589,1189,28,31,546,502,60,47,635,578,1212,48,35,473,431,50,36,569,501,1072,36,60,219,198,21,25,275,284,559,30,53,46,45,3,6,82,97,184,215,234,3348,3217,354,328,3917,3785,7695
LGA17650,19,14,0,10,31,60,88,145,147,2686,2786,146,121,2981,3055,6032,4,4,139,140,5,9,155,154,307,10,10,368,400,24,37,413,441,853,5,6,160,167,11,13,181,186,370,0,3,111,105,7,6,117,117,237,0,10,197,230,20,13,211,261,470,11,4,293,320,31,31,331,350,683,14,21,356,425,39,36,412,486,892,30,34,422,428,44,39,493,496,985,42,21,341,310,37,35,419,370,787,20,43,108,127,15,16,154,188,337,12,41,27,27,7,3,44,76,118,158,199,2527,2684,242,241,2926,3120,6048
LGA17750,212,314,17,61,378,755,1128,1148,1332,26651,28023,1180,1128,28978,30478,59459,45,20,2064,1842,130,112,2238,1975,4206,218,100,3833,3874,219,243,4270,4216,8490,96,44,2029,1917,146,120,2265,2080,4347,52,40,2177,2364,169,156,2396,2565,4960,91,79,3833,4060,288,263,4208,4400,8609,93,90,3365,3517,237,225,3697,3831,7532,116,145,3307,3491,269,232,3687,3867,7551,167,185,3060,3286,260,258,3483,3730,7210,217,187,2087,2246,197,190,2503,2626,5124,191,299,968,1257,113,151,1271,1710,2979,172,401,281,395,39,86,488,887,1372,1437,1595,26995,28254,2072,2025,30504,31880,62385
LGA17850,9,18,4,6,29,48,76,89,70,1364,1404,54,49,1504,1516,3021,0,0,75,77,13,7,89,85,174,6,3,155,162,20,22,174,181,357,3,3,61,81,4,5,70,86,159,0,3,65,54,5,7,69,61,135,0,3,120,117,23,13,146,135,276,0,0,129,142,14,24,144,169,313,5,8,183,178,24,22,217,203,415,21,10,200,187,17,26,244,224,464,11,19,208,176,36,22,253,217,469,12,16,87,95,14,21,103,125,233,9,18,11,18,17,21,33,61,96,76,73,1299,1273,183,190,1551,1540,3092
