SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL11838,102,96,200,30,9,42,12,24,39,5,7,12,7,0,5,53,48,100,40,39,82,9.4,2.2,6.1,50.5,46.9,48.8,45.7,45.9,45.8,4,0,4,0,0,0,3,14,19,9,3,12,30,17,49,0,0,3,0,5,8,37,27,63,100,95,193,14,11,26,74,72,146,25,33,59
SAL11839,284,270,551,94,59,150,39,61,102,17,12,25,0,4,7,151,138,286,118,129,249,2,3.7,2.8,53.7,50.4,52.1,52.7,48.5,50.6,6,5,17,4,4,7,21,54,78,33,41,79,111,33,143,3,3,8,0,10,16,117,49,161,269,261,535,56,46,99,191,184,371,123,110,236
SAL11840,12,14,31,10,4,7,7,0,5,0,0,0,0,0,0,12,4,15,6,7,8,0,0,0,66.7,38.5,53.6,66.7,38.5,53.6,0,0,0,0,0,0,4,0,4,0,0,0,4,0,8,0,0,0,0,0,0,4,0,8,12,9,22,4,4,8,7,9,15,0,5,7
SAL11841,76,70,146,40,26,66,9,20,29,0,4,3,0,0,0,55,51,100,20,11,32,1.9,2,1.9,69.2,71,70.1,67.9,69.6,68.7,0,0,0,0,3,3,5,10,17,6,5,9,16,8,27,0,0,4,0,0,5,25,11,34,74,63,135,16,16,34,50,35,87,35,42,76
SAL11842,244,258,504,131,76,206,29,79,109,11,15,16,5,5,3,173,171,344,69,84,151,1.7,1.2,1.4,70.6,66.4,68.5,69.4,65.6,67.5,9,6,14,8,14,18,22,35,61,14,28,42,87,53,141,5,8,10,11,14,21,97,74,171,257,265,529,47,50,95,183,193,383,107,111,212
SAL11843,12,9,21,5,0,5,0,6,3,0,0,0,0,0,0,10,6,17,3,7,7,11.1,0,7.7,75,44.4,61.9,66.7,44.4,57.1,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,19,0,0,3,11,5,15,3,3,9
SAL11844,3,6,14,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,0,0,0,60,40,50,60,40,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,3,0,7,0,4,3
SAL11845,1927,2166,4098,768,603,1367,397,636,1031,94,100,200,66,50,123,1326,1396,2717,504,670,1174,5.1,3.9,4.5,68.7,64.2,66.3,65.2,61.7,63.3,143,196,333,46,95,134,401,496,899,160,214,367,363,246,611,13,21,35,23,40,66,396,308,710,1601,1786,3384,455,511,972,957,1062,2018,1027,1167,2193
SAL11846,409,407,813,163,97,266,62,115,172,24,30,53,12,9,20,257,248,510,137,142,280,4.6,3.2,3.9,63.3,61.7,62.5,60.4,59.8,60.1,44,45,88,11,22,35,103,110,211,36,46,78,71,26,96,4,6,10,7,8,16,85,39,120,409,408,826,72,71,140,295,293,585,165,167,329
SAL11847,378,395,778,180,133,313,55,121,177,18,26,40,14,3,24,271,284,550,94,96,190,5.6,2.1,3.8,70.6,71.3,71,66.7,69.8,68.3,21,20,43,8,12,18,59,97,156,33,36,65,99,60,157,3,4,7,0,9,13,105,69,182,367,382,748,64,67,127,225,224,449,174,208,383
SAL11848,1699,1672,3372,562,335,900,239,403,641,45,65,112,81,40,127,935,844,1777,575,652,1226,9,5.1,7.1,55,50.4,52.8,50.1,47.9,49,123,111,235,41,63,104,326,352,684,113,137,251,275,136,407,13,31,46,26,44,76,313,213,524,1580,1506,3081,227,277,501,1098,1087,2186,622,631,1251
SAL11849,296,336,630,172,123,292,33,98,132,6,16,20,6,5,8,213,238,459,62,77,140,2.8,2.1,2.4,73.5,71.7,72.5,71.4,70.2,70.8,4,11,17,5,11,14,19,59,78,9,22,34,101,54,156,4,8,13,3,9,11,106,73,180,296,326,624,65,78,143,142,146,293,186,229,420
SAL11850,3145,3631,6779,1329,887,2214,460,791,1253,217,282,504,93,88,181,2097,2046,4143,865,1294,2162,4.4,4.2,4.3,66.6,56.3,61.1,63.7,54,58.5,81,101,183,24,74,99,277,467,744,317,409,723,851,637,1487,40,50,89,58,102,163,949,792,1739,3151,3520,6671,723,825,1539,1607,1767,3374,2000,2291,4291
SAL11851,1411,1576,2985,421,373,794,146,255,400,153,100,252,24,26,52,741,765,1502,459,577,1042,3.4,3.4,3.4,52.3,48.5,50.3,50.5,46.8,48.6,46,69,117,12,21,38,141,222,357,119,162,283,331,149,487,6,18,14,21,37,62,361,206,562,1375,1489,2866,159,164,318,981,1062,2048,427,491,919
SAL11852,27,32,61,13,5,17,3,12,12,0,3,4,0,0,0,11,15,32,11,5,18,0,0,0,46.4,54.8,50.8,46.4,54.8,50.8,0,0,0,0,0,0,3,3,6,0,6,3,12,6,17,0,0,0,0,0,3,10,9,22,32,25,58,0,0,4,21,17,41,7,6,15
SAL11853,53,56,108,15,12,25,8,12,20,4,8,6,0,0,0,29,26,53,13,20,37,6.9,0,3.7,55.8,43.9,49.5,51.9,43.9,47.7,5,7,10,0,0,3,6,15,18,4,5,8,10,0,11,0,0,0,0,0,0,11,0,14,43,40,84,3,8,9,26,36,63,19,9,30
SAL11854,41,45,85,13,10,19,5,5,11,0,0,0,0,0,0,17,13,31,23,25,45,5.9,0,3.1,39.5,34.1,36.8,37.2,34.1,35.6,0,5,3,0,0,0,0,5,10,4,8,12,17,6,25,0,0,0,0,0,0,17,13,27,36,38,78,9,0,15,30,36,64,7,9,22
SAL11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3
SAL11856,91,96,183,33,20,45,15,25,35,4,0,4,0,0,7,46,46,95,38,39,79,4.3,6.4,5.3,52.2,50,51.1,50,46.8,48.4,3,8,6,0,8,8,13,14,26,9,9,22,25,10,36,0,0,4,0,0,0,29,14,40,88,90,176,3,11,14,55,53,111,34,47,84
SAL11857,605,522,1125,306,124,430,59,144,202,16,18,33,8,4,13,384,292,678,110,146,260,1.6,2.1,1.8,63.6,55.8,60,62.6,54.6,58.9,0,9,7,3,11,12,42,49,95,32,32,63,129,77,207,3,11,16,0,14,19,138,105,245,550,479,1026,56,43,98,416,367,784,159,127,286
SAL11858,758,838,1601,258,160,417,70,162,231,19,32,51,22,17,33,370,369,740,330,410,740,5.4,4.3,4.9,48.4,44.3,46.2,45.8,42.4,44,10,12,17,4,8,15,28,76,109,36,79,113,198,107,305,10,18,30,4,14,24,214,146,357,746,825,1573,79,90,170,544,616,1162,242,262,496
SAL11859,117,103,220,35,18,57,25,29,50,3,6,9,0,4,9,66,55,117,50,46,99,3,5.7,4.2,57.4,51,54.3,55.7,48.1,52.1,12,16,26,0,11,9,32,25,53,17,9,28,22,9,31,0,0,0,0,0,3,24,12,38,104,91,194,15,15,38,71,67,138,46,39,85
SAL11860,68,57,125,40,26,70,3,20,29,0,0,0,0,0,0,54,49,99,11,3,18,2,0,1,76.9,82,79.4,75.4,82,78.6,4,0,3,0,0,4,13,19,32,7,8,14,21,7,25,0,0,0,0,0,0,16,7,24,68,68,132,9,12,23,64,63,118,14,12,25
SAL11861,140,103,242,40,21,67,6,19,34,13,6,16,7,0,3,68,52,120,58,37,89,6,3.8,5,47.2,52,49.2,44.4,50,46.7,6,3,4,0,0,0,0,12,14,3,10,11,42,21,59,7,0,8,0,4,3,50,24,68,131,102,235,5,9,16,91,66,156,38,39,73
SAL11862,29,35,71,18,11,31,3,10,17,0,3,3,0,0,0,21,29,48,11,8,14,0,0,0,69.7,74.3,72.1,69.7,74.3,72.1,0,7,3,4,6,6,5,11,14,5,3,8,8,0,3,0,0,0,0,0,0,8,6,12,28,32,60,8,11,12,23,25,45,12,13,22
SAL11863,19,14,30,10,4,14,0,3,9,0,0,0,0,0,0,17,12,29,0,0,0,6.3,0,3.7,84.2,91.7,87.1,78.9,91.7,83.9,0,0,0,0,0,0,7,5,5,0,3,3,4,5,7,0,0,0,0,0,0,4,5,7,28,15,47,0,0,0,18,11,37,6,6,11
SAL11864,28,30,61,12,9,20,4,9,11,0,0,0,0,0,0,13,15,31,17,15,27,0,0,0,50,56.7,53.3,50,56.7,53.3,0,0,0,0,0,0,0,6,12,3,0,5,10,7,12,0,0,0,0,4,3,14,11,19,28,32,58,4,0,0,24,26,49,6,8,13
SAL11865,1555,1559,3108,238,170,413,144,232,372,40,35,77,37,24,68,458,467,926,1011,1027,2036,8.7,5.6,7.1,29.7,29.9,29.8,27.1,28.2,27.7,34,31,63,17,24,35,86,129,214,89,150,243,516,211,721,10,36,51,30,60,91,553,304,864,1345,1357,2702,223,227,445,844,859,1702,687,698,1385
SAL11866,4951,5122,10071,2484,1603,4088,728,1279,2012,406,485,889,99,94,189,3724,3462,7181,1100,1533,2633,2.6,2.7,2.7,75.2,67.6,71.3,73.2,65.8,69.4,234,281,517,68,125,190,563,869,1432,532,623,1157,1308,641,1950,39,79,117,111,154,260,1454,877,2330,5589,5746,11332,742,787,1532,3538,3639,7183,2423,2533,4959
SAL11867,2361,1947,4306,849,488,1333,455,405,859,169,102,276,122,104,223,1590,1092,2682,584,712,1288,7.6,9.1,8.2,67.4,56.1,62.3,62.2,51,57.2,470,392,862,26,27,57,675,522,1199,214,184,398,140,79,220,4,10,14,19,28,51,165,113,280,1775,1555,3326,755,580,1338,759,761,1524,1630,1258,2888
SAL11868,200,194,397,84,48,130,29,48,79,13,19,33,3,0,10,130,116,250,58,72,130,3.1,2.5,2.8,64.9,61.1,63,62.9,59.6,61.3,8,11,14,0,6,11,24,30,56,16,22,45,69,29,97,0,6,8,4,6,7,80,39,116,200,192,396,20,31,48,148,137,284,72,74,145
SAL11869,35,34,65,20,3,19,0,9,12,5,6,10,0,0,0,24,26,45,11,11,22,0,4.5,2.3,60,64.7,62.3,60,61.8,60.9,0,6,3,0,3,3,3,3,10,0,6,7,17,4,17,0,0,0,0,0,0,18,3,19,40,35,76,0,0,4,31,30,61,7,8,21
SAL11870,10,7,18,5,4,11,0,0,0,0,6,0,0,0,0,9,3,14,0,0,0,0,0,0,77.8,85.7,81.3,77.8,85.7,81.3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,0,0,0,4,6,3,7,3,19,0,0,4,8,9,15,0,0,5
SAL11871,20,15,36,6,4,10,4,5,8,0,0,0,0,0,0,10,9,17,4,8,13,0,0,0,50,61.1,55.9,50,61.1,55.9,0,3,0,0,0,0,0,5,0,0,3,3,9,4,9,0,0,0,0,0,0,9,4,9,15,14,30,0,5,5,13,8,22,3,8,6
SAL11872,143,142,281,54,17,73,23,44,63,5,5,10,8,3,8,87,70,161,43,56,102,5.6,5.6,5.6,62.2,51.4,56.9,58.7,48.6,53.7,0,4,3,4,0,5,3,14,18,11,4,17,41,24,69,0,5,0,6,10,10,53,33,84,128,133,259,19,18,42,89,89,176,60,58,118
SAL11873,1704,1682,3386,632,457,1091,281,354,637,174,120,298,72,60,129,1157,996,2149,459,605,1069,6,6,6,67.8,59,63.5,63.8,55.5,59.7,64,64,135,13,34,48,206,248,454,126,150,279,358,212,579,15,27,38,23,42,65,400,281,682,1871,1855,3728,201,209,408,1330,1322,2657,609,605,1215
SAL11874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11875,274,345,622,43,29,74,20,48,70,4,10,13,4,0,12,74,94,170,169,224,388,7.7,3.3,5.4,28.2,26.2,27.1,26,25.3,25.6,3,8,15,4,6,11,29,25,50,13,35,44,69,36,105,0,0,3,5,7,17,72,52,123,229,273,500,28,52,72,175,209,389,80,105,184
SAL11876,177,156,333,45,32,74,20,23,47,10,4,11,6,4,4,79,65,143,92,87,177,5.2,3.2,4.3,42.8,40,41.5,40.6,38.7,39.7,7,3,13,0,6,10,20,35,50,8,12,19,66,12,79,0,6,6,0,0,3,60,22,82,157,136,292,24,18,48,114,99,216,53,57,113
SAL11877,3,4,8,4,0,6,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,80,100,87.5,80,100,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,0,0,10,4,10,0,0,0
SAL11878,13,15,33,6,0,8,3,9,12,0,0,3,0,0,0,11,8,19,6,3,9,0,0,0,50,52.9,51.5,50,52.9,51.5,0,0,3,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,12,25,7,3,9,10,10,21,4,6,7
SAL11879,173,191,362,96,51,147,24,51,77,10,21,33,7,5,7,131,125,260,34,58,89,3,1.6,2.3,78.4,67,72.4,76,66,70.8,5,11,12,3,11,16,17,27,43,20,25,37,60,35,86,0,9,5,6,7,12,63,43,99,202,211,409,15,17,28,140,155,294,59,56,117
SAL11880,655,630,1284,132,93,220,77,105,186,30,23,56,14,9,16,251,221,475,354,356,712,4,2.7,3.4,38.6,35.3,37,37,34.3,35.7,27,22,50,13,8,22,79,93,169,36,79,118,189,62,247,5,10,11,14,22,37,207,90,296,553,510,1064,94,92,185,314,279,592,299,299,595
SAL11881,952,974,1922,383,203,586,99,232,331,35,37,71,26,18,49,544,494,1039,282,373,657,4.8,4.1,4.4,57.3,50.6,53.9,54.5,48.5,51.5,9,14,17,0,14,16,38,57,99,39,72,116,215,134,351,7,14,25,6,10,16,229,159,391,846,881,1728,116,143,254,625,648,1275,287,313,597
SAL11882,167,149,320,77,39,117,16,38,53,4,4,3,3,0,3,101,80,183,40,52,88,2.9,0,1.6,61.9,52.7,57.5,60.1,52.7,56.6,0,3,4,0,5,5,11,16,26,14,20,28,39,20,61,0,0,3,0,0,6,40,26,67,142,127,271,23,18,40,102,95,199,53,48,104
SAL11883,11,13,22,7,4,9,0,7,8,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,72.7,60,66.7,72.7,60,66.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,7,9,9,9,0,5,6,9,4,10,4,0,7
SAL11884,3903,4033,7935,1029,752,1783,800,804,1609,304,345,649,233,204,440,2362,2112,4476,1149,1534,2683,9.8,9.7,9.8,60.6,52.3,56.4,54.7,47.2,50.9,501,529,1024,45,56,101,1100,1240,2338,543,608,1151,172,135,311,16,22,37,42,47,96,233,207,441,2149,2281,4431,1572,1557,3133,679,743,1426,2925,2993,5919
SAL11885,9,0,3,9,0,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,9,0,3,0,0,0,9,0,3,0,0,0
SAL11886,17,16,31,0,5,11,5,5,11,0,0,0,0,0,0,6,10,19,0,7,5,10,0,4.8,62.5,64.7,63.6,56.3,64.7,60.6,0,3,3,0,0,0,4,5,12,0,4,4,4,0,4,0,0,0,0,0,0,4,0,3,17,12,24,0,5,4,12,8,18,0,9,11
SAL11887,498,496,992,240,113,352,63,146,207,35,48,86,7,15,22,343,316,659,142,164,315,2,3.8,2.9,69.1,63.8,66.5,67.7,61.4,64.6,10,16,33,7,14,19,64,75,140,51,58,107,157,103,263,3,10,14,14,18,25,180,131,307,573,569,1146,45,48,97,341,310,648,246,268,516
SAL11888,1951,2129,4077,788,522,1312,307,529,836,114,156,274,73,32,102,1285,1246,2528,605,835,1436,5.5,2.7,4.1,65.7,58.4,61.9,62.2,56.8,59.4,120,194,314,48,87,138,301,443,747,189,311,496,504,288,788,25,38,60,44,45,78,570,365,931,2082,2269,4348,265,271,539,1558,1721,3280,677,699,1381
SAL11889,46,44,84,18,14,34,3,12,15,0,0,0,0,0,0,23,27,53,15,19,36,0,0,0,62.8,58.1,60.5,62.8,58.1,60.5,0,4,5,0,0,0,3,7,12,3,0,11,11,6,22,0,0,0,4,0,3,19,8,22,39,43,83,5,7,8,28,26,61,14,13,32
SAL11890,2373,2619,4994,1089,664,1752,294,647,934,168,198,364,48,35,81,1585,1547,3132,685,907,1592,2.8,2.4,2.6,66.8,59,62.7,64.9,57.6,61.1,105,131,239,39,94,137,299,409,710,210,335,546,795,292,1085,18,43,59,40,105,147,859,436,1293,2533,2757,5284,254,271,521,1936,2075,4006,719,808,1523
SAL11891,330,249,579,85,45,127,43,45,88,22,11,35,14,6,16,158,109,262,129,112,241,7.1,3.7,5.7,46.7,43.7,45.4,43.4,42.1,42.8,7,0,5,0,4,4,13,15,31,11,14,28,77,27,101,6,8,11,5,0,9,84,38,120,250,191,439,67,58,126,142,117,252,165,120,282
SAL11892,28,25,49,16,9,19,4,7,13,4,5,6,0,0,0,24,20,41,11,7,14,0,5.6,2.6,69,81.8,74.5,69,77.3,72.5,0,0,0,0,0,0,0,3,7,3,3,3,8,4,13,0,0,0,0,0,0,11,4,13,35,27,63,6,5,10,22,16,41,14,9,26
SAL11893,2081,2211,4290,576,404,981,233,329,564,175,122,303,98,81,179,1088,938,2032,795,1077,1877,9.1,8.6,8.9,52.5,42.4,47.3,47.7,38.8,43.1,52,47,105,4,17,24,135,202,340,110,189,295,371,274,645,15,36,46,28,56,85,416,360,779,2252,2285,4538,255,264,521,1603,1641,3250,721,768,1491
SAL11894,1182,1305,2486,215,185,404,111,143,254,103,73,177,72,49,127,505,454,960,580,749,1334,14.8,11.1,13,42.8,34.7,38.6,36.5,30.9,33.5,14,14,25,0,20,20,74,99,174,54,103,161,194,123,317,13,26,35,12,24,37,216,172,388,1331,1380,2710,120,150,272,964,1026,1992,387,417,804
SAL11895,1063,1100,2166,575,329,903,121,342,464,37,50,94,35,20,55,773,745,1509,244,316,559,4.4,2.6,3.5,72.3,67.4,69.8,69.1,65.7,67.4,7,12,21,3,14,19,53,119,169,67,116,188,413,258,678,15,29,46,12,41,51,442,328,769,1049,1073,2118,262,320,576,661,630,1297,546,645,1196
SAL11896,0,3,8,0,6,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,100,80,87.5,100,80,87.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,10,0,0,0
SAL11897,2530,2573,5106,1214,666,1888,372,787,1158,180,228,409,60,51,109,1831,1732,3565,629,743,1376,3.3,2.8,3.1,72.4,67.3,69.8,69.9,65.4,67.7,103,153,258,36,94,132,310,478,792,246,341,588,887,335,1224,17,39,63,37,89,120,942,466,1406,2838,2833,5676,326,312,634,2068,2035,4110,880,893,1778
SAL11898,184,198,382,77,48,132,28,45,79,3,10,19,0,4,3,116,109,224,62,82,147,0.9,3.6,2.2,62.6,55.8,59.1,62.1,53.8,57.7,19,15,40,0,3,8,64,66,134,16,23,43,18,5,26,0,0,0,4,5,12,24,10,36,192,189,384,24,33,54,144,162,303,74,58,128
SAL11899,522,506,1030,177,82,257,65,121,181,15,13,28,16,3,22,266,217,484,201,246,453,6.4,2.3,4.5,51.2,43,47.1,47.9,42,45,11,9,15,0,14,20,29,61,95,20,54,72,115,56,167,3,8,17,7,13,20,125,75,202,486,462,952,77,85,154,358,324,682,185,194,378
SAL11900,9,7,21,0,3,8,3,0,3,0,0,0,0,0,0,0,5,9,6,8,16,0,25,14.3,30,36.4,33.3,30,27.3,28.6,3,0,6,0,0,0,0,0,5,0,0,0,4,0,6,0,0,0,0,0,0,4,0,6,11,5,15,0,6,6,3,3,11,3,5,8
SAL11901,57,47,98,35,13,42,5,8,11,0,4,4,0,0,0,33,22,61,8,12,23,0,0,0,62.5,52.2,57.8,62.5,52.2,57.8,0,0,0,0,0,0,0,0,0,0,5,5,11,6,16,0,0,0,0,0,0,13,6,22,49,38,92,4,3,12,40,27,63,13,17,26
SAL11902,148,130,278,40,19,67,18,27,41,4,8,12,4,3,6,68,60,128,67,60,120,7.4,3.2,5.3,46.9,47.7,47.3,43.4,46.2,44.8,4,3,9,0,0,0,5,10,11,6,13,21,43,26,61,4,5,11,4,3,5,48,28,78,133,111,245,21,25,41,100,83,182,55,52,104
SAL11903,42,49,88,24,13,34,6,10,20,0,0,0,0,0,0,31,28,54,12,17,32,0,7.7,3.6,71.4,54.2,62.2,71.4,50,60,0,0,3,0,0,0,7,10,17,3,3,3,10,4,17,0,0,0,0,0,0,11,12,19,50,52,93,9,3,11,36,38,74,9,11,22
SAL11904,97,94,190,34,21,54,20,27,47,0,6,6,0,0,3,57,52,107,31,40,70,3.6,1.9,2.8,58.3,53.1,55.7,56.3,52,54.1,0,3,3,0,0,0,10,9,15,8,9,14,35,14,46,0,0,3,4,6,7,40,21,62,99,102,194,15,9,27,80,80,158,23,30,55
SAL11905,76,49,127,19,7,27,11,7,22,6,6,6,3,0,3,35,16,57,23,22,48,10.8,0,7.1,50,38.8,45.5,44.6,38.8,42.3,0,0,0,0,0,0,0,3,3,4,7,9,9,9,16,0,0,4,5,0,5,12,8,22,62,56,114,7,6,14,43,25,73,24,24,47
SAL11906,59,59,119,14,13,27,4,10,17,0,3,4,0,5,6,26,28,54,33,28,60,15.4,7.4,11.3,42.6,46.6,44.5,36.1,43.1,39.5,0,0,0,0,3,5,5,6,7,4,9,8,29,6,35,0,0,0,0,0,0,29,9,38,51,49,103,6,0,9,44,46,89,13,9,27
SAL11907,191,203,390,76,53,130,31,54,79,10,13,25,7,0,6,118,125,242,39,49,88,3.3,1.7,2.5,64.2,60.2,62.1,62.1,59.2,60.6,13,11,22,0,4,7,31,41,80,15,18,33,40,22,62,0,5,5,4,5,9,45,31,72,174,182,354,32,33,68,135,140,270,55,65,123
SAL11908,10,8,18,6,4,6,0,7,7,0,0,0,0,0,0,3,4,9,3,3,8,0,0,0,62.5,50,55.6,62.5,50,55.6,0,0,0,0,0,0,0,5,5,0,3,3,4,0,6,4,0,4,0,0,0,9,0,7,10,11,20,0,0,0,7,9,15,0,0,8
SAL11909,356,364,722,161,95,249,74,130,203,17,18,32,14,5,22,261,244,503,90,108,199,5.8,2.5,4.2,72.3,67,69.6,68.1,65.4,66.7,23,28,49,6,18,28,80,84,169,26,41,68,101,48,148,3,3,7,0,12,13,108,63,172,404,403,806,47,36,81,283,280,567,130,134,258
SAL11910,52,48,101,13,3,13,9,11,19,3,0,3,3,0,3,20,16,40,24,22,43,13.6,0,7.5,41.5,40.9,41.2,35.8,40.9,38.1,0,0,0,0,0,0,3,6,11,5,4,10,17,0,19,0,0,3,0,4,5,19,10,26,49,37,89,5,0,3,41,33,78,9,3,17
SAL11911,45,42,86,25,12,35,9,17,30,0,0,0,0,0,0,31,28,64,6,12,19,0,3.2,1.6,68.9,72.1,70.5,68.9,69.8,69.3,0,0,4,0,0,0,7,7,16,6,6,11,12,4,17,0,0,0,0,3,6,17,8,24,45,37,83,7,8,21,29,26,54,22,20,43
SAL11912,1080,1063,2146,528,315,843,148,319,464,73,57,133,35,17,48,784,703,1491,273,335,607,4,2.5,3.3,72.2,66.4,69.3,69.3,64.7,67,22,28,45,7,21,26,56,122,178,67,127,195,403,203,612,14,22,36,14,38,53,434,259,700,1186,1197,2389,153,151,306,831,775,1605,424,472,899
SAL11913,77,81,154,36,18,57,10,28,36,5,3,3,3,0,5,49,54,102,29,25,50,4.1,5.7,4.9,62.8,67.1,65,60.3,63.3,61.8,4,3,3,0,0,0,7,10,23,7,15,18,27,15,45,0,0,0,0,0,0,27,14,40,85,89,168,6,11,15,67,67,134,21,24,52
SAL11914,81,71,151,28,15,46,10,14,20,5,3,12,3,0,3,45,33,75,25,28,46,9.1,2.9,6.4,54.3,47.9,51.3,49.4,46.5,48,0,3,3,0,5,8,7,8,14,3,5,12,12,8,26,0,0,0,0,4,4,12,8,26,58,55,111,13,13,29,43,44,84,27,24,49
SAL11915,18,7,30,7,0,13,0,0,6,0,0,0,0,0,0,6,0,10,7,7,15,0,0,0,50,20,39.3,50,20,39.3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,12,6,22,3,0,4,14,7,13,4,3,8
SAL11916,264,264,523,121,70,194,31,72,107,9,17,21,11,8,17,173,168,345,88,96,181,7.5,3,5.3,66.4,64.1,65.3,61.5,62.2,61.8,3,5,5,3,4,6,27,41,63,15,45,61,95,53,144,8,4,9,5,10,19,103,68,173,290,290,578,26,24,45,209,209,422,87,91,179
SAL11917,17,24,45,5,5,14,4,3,8,0,0,0,0,0,0,8,13,27,4,10,12,0,7.7,4.2,52.4,52,52.2,52.4,48,50,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,0,0,0,0,0,0,7,10,16,14,19,35,5,3,5,14,20,29,7,3,12
SAL11918,2324,2373,4696,909,700,1611,371,495,863,180,169,357,99,76,180,1562,1443,3007,624,795,1418,6.5,5.3,5.9,67.1,60.9,64,62.8,57.7,60.2,183,173,362,28,56,81,387,513,901,199,274,468,434,218,652,19,23,45,26,61,85,476,298,775,2040,2073,4116,573,556,1133,1130,1154,2282,1338,1345,2679
