UCL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL115014,7,14,26,31,53,36,33,19,3,224,0,9,37,45,53,49,25,11,6,238,0,4,35,37,45,37,27,12,0,200,0,4,13,26,39,28,18,0,0,138,0,0,6,20,24,23,12,0,0,84,0,0,8,25,28,26,4,0,0,91,0,0,12,27,51,17,13,0,0,121,0,0,3,11,6,5,0,0,0,26,0,0,0,6,8,6,0,0,0,25,19,6,10,30,40,22,48,35,27,234,244,98,230,378,459,421,400,230,85,2543
UCL115015,0,10,13,19,15,36,41,22,5,166,0,5,22,19,23,24,33,3,6,134,0,5,8,17,16,25,25,17,3,119,0,0,5,15,15,12,17,0,0,65,0,0,5,4,5,12,8,3,0,43,0,0,3,5,14,15,3,0,3,35,0,0,6,3,9,14,12,0,0,40,0,0,5,0,0,0,0,0,0,7,0,0,5,4,4,6,0,0,0,18,15,3,23,19,13,25,31,17,15,157,63,43,128,142,174,327,407,195,72,1562
UCL115016,0,4,21,11,12,18,15,5,0,82,0,15,13,12,15,9,10,0,0,86,0,4,26,13,17,19,0,3,0,82,0,8,13,12,17,4,3,0,0,54,0,0,5,9,16,13,3,0,0,45,0,0,4,10,15,3,5,0,0,33,0,0,6,10,16,15,0,0,0,46,0,0,0,7,6,0,0,0,0,3,0,0,0,0,4,4,0,0,0,7,5,9,14,6,15,17,6,7,4,90,62,53,113,111,146,159,119,64,27,866
UCL115017,0,8,20,18,12,28,54,41,11,189,0,3,12,24,18,21,52,30,7,172,0,8,11,18,14,23,46,23,3,147,0,3,16,15,22,20,28,5,7,109,0,0,22,18,28,28,8,14,0,121,0,0,12,23,15,21,11,0,0,83,0,0,25,48,26,29,6,6,0,142,0,0,6,13,12,8,0,5,0,44,0,0,5,24,18,19,11,5,5,77,11,6,9,10,12,14,39,34,94,228,83,53,162,247,223,321,435,368,225,2116
UCL115018,0,12,8,5,7,21,13,7,6,80,0,4,5,8,8,17,18,3,0,70,0,6,7,9,16,9,9,3,0,54,0,4,0,5,7,3,0,0,0,26,0,0,0,0,3,6,0,4,0,24,0,0,0,4,0,4,0,0,0,7,0,0,0,0,3,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,7,9,29,19,4,74,37,35,52,69,102,152,229,169,81,923
UCL115019,4,12,41,34,43,56,72,50,9,312,0,16,39,48,61,64,82,30,3,344,0,7,40,48,61,87,55,21,4,320,0,6,36,50,42,62,36,17,5,243,0,0,27,36,44,54,24,13,0,184,0,0,13,36,49,42,12,4,3,162,0,0,24,60,78,67,26,8,0,272,0,0,8,10,12,11,6,3,0,53,0,0,3,13,27,36,5,9,0,93,15,3,22,22,33,36,49,34,8,222,182,95,363,476,599,808,787,440,107,3865
UCL115020,0,16,36,31,28,32,23,13,0,185,3,38,45,27,41,39,15,11,4,227,5,20,66,41,35,39,24,3,0,239,0,4,42,21,27,20,10,0,0,132,0,16,36,25,30,20,4,4,0,126,0,3,24,21,18,18,3,0,0,84,0,3,29,36,35,31,0,0,0,136,0,4,7,0,3,0,0,0,0,13,0,0,0,3,3,0,0,0,0,13,9,9,10,7,17,17,22,16,7,105,192,186,388,293,328,392,308,203,86,2382
UCL115021,0,11,10,16,9,16,16,9,9,95,3,5,19,9,10,13,5,5,0,76,0,7,15,15,7,14,10,0,0,79,0,7,16,12,11,14,5,0,0,58,0,0,10,14,12,11,3,0,0,56,0,3,13,10,13,9,0,0,0,47,0,0,3,11,7,7,0,0,0,34,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,4,6,8,10,17,20,13,15,4,94,51,53,115,125,134,156,170,104,46,942
UCL115022,14,17,17,24,40,29,43,29,4,209,7,23,21,26,53,46,22,21,3,228,8,6,27,33,41,40,22,10,0,187,0,3,12,33,39,44,10,4,0,149,0,8,9,31,39,21,10,3,0,121,0,0,13,26,24,26,4,3,0,104,0,0,5,27,59,43,10,9,0,148,0,0,0,7,10,8,3,0,0,30,0,0,0,6,10,0,0,4,0,32,3,7,12,11,11,12,15,18,6,91,195,116,160,272,411,453,445,292,65,2415
UCL115023,0,11,9,3,16,11,20,8,5,82,0,7,13,13,19,21,11,3,0,89,0,10,13,11,19,24,10,3,0,92,0,8,8,9,16,16,3,0,0,63,0,0,13,9,3,10,3,3,0,47,0,0,12,4,7,7,0,0,0,33,0,3,10,6,16,9,4,0,0,47,0,0,0,6,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,11,9,8,17,23,23,37,37,18,11,183,56,66,134,115,173,202,228,133,57,1164
UCL115024,5,13,14,9,11,13,9,0,0,69,3,14,25,20,19,13,11,0,0,101,0,16,28,20,20,27,4,6,0,108,0,3,24,13,20,9,9,3,0,83,0,4,16,9,11,17,0,0,0,56,0,0,20,13,6,11,4,0,0,57,0,0,18,25,24,10,0,0,0,72,0,0,0,5,5,4,0,0,0,14,0,0,5,0,0,0,0,0,0,11,26,14,38,32,39,39,14,10,5,219,83,101,233,175,185,186,124,57,26,1175
UCL115025,6,17,16,14,15,16,11,6,3,91,0,22,17,16,11,15,8,0,0,92,3,7,18,24,27,19,12,3,0,109,0,7,32,30,24,13,3,0,0,110,0,3,26,31,18,21,0,0,0,106,0,0,20,14,18,15,5,0,0,66,0,5,18,28,39,23,0,0,0,109,0,0,0,5,8,3,0,0,0,14,0,0,3,5,6,3,4,0,0,19,5,4,13,12,5,5,4,6,0,53,113,105,205,214,207,173,104,45,9,1170
UCL115026,3,3,12,10,14,7,17,11,5,88,0,9,14,11,17,22,16,11,6,101,0,9,23,10,11,18,21,6,0,103,0,5,5,18,9,13,12,6,0,65,0,0,16,10,13,14,4,0,0,58,0,5,11,9,12,12,0,3,0,57,0,0,17,28,22,15,7,0,0,87,0,0,0,4,0,4,3,0,0,21,0,0,0,10,6,3,0,3,0,24,9,4,18,14,19,15,17,17,9,118,53,44,139,161,169,177,195,180,46,1170
UCL115027,7,27,37,33,21,15,13,3,3,161,9,38,47,31,39,13,20,0,0,199,0,15,59,55,32,26,16,0,0,204,0,13,37,34,27,26,9,0,0,144,0,10,43,43,22,17,3,0,0,138,0,0,38,26,26,11,5,0,0,111,0,0,74,73,59,26,9,0,0,236,0,0,13,19,9,3,0,4,0,49,0,0,6,6,3,4,0,0,0,30,10,7,28,11,22,12,15,3,3,119,171,167,461,413,327,254,260,98,34,2199
UCL115028,4,15,21,17,12,26,37,25,15,172,0,13,17,17,32,46,22,27,9,185,0,11,32,30,31,36,35,6,3,182,0,3,22,26,33,38,17,10,0,157,0,0,20,30,35,29,12,3,3,133,0,0,10,20,22,22,11,7,0,87,0,0,12,23,47,35,0,3,0,127,0,0,0,5,14,13,0,0,0,29,0,0,4,15,17,11,11,4,0,60,6,5,9,19,21,13,15,19,17,127,147,85,186,253,311,398,360,258,135,2120
UCL115029,3,11,19,18,21,18,19,9,0,125,0,11,29,31,33,21,16,12,3,157,0,5,30,35,25,36,14,4,0,151,0,4,19,10,14,12,3,0,0,70,0,0,9,17,25,13,4,3,0,75,0,5,10,5,7,7,10,0,0,41,0,0,6,6,22,21,3,0,0,57,0,0,7,8,12,5,0,0,0,24,0,0,0,9,11,6,4,0,0,36,3,11,17,13,12,23,25,14,8,141,81,83,196,213,234,260,236,118,42,1464
UCL115030,3,7,10,9,9,23,15,7,10,94,0,4,16,11,23,26,8,3,0,88,0,0,9,13,7,19,0,0,0,55,0,4,8,3,7,10,7,0,0,36,0,0,3,0,11,13,0,3,0,38,0,0,6,0,7,4,0,0,0,19,0,0,0,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,5,8,5,18,12,24,23,113,65,39,80,92,135,195,213,127,60,999
UCL115031,10,12,15,21,13,29,74,34,6,210,0,7,15,13,29,33,51,20,3,180,0,10,15,27,26,52,38,22,6,196,0,0,10,19,29,27,23,12,0,126,0,0,14,15,23,20,21,3,0,100,0,0,11,12,11,18,12,9,0,66,0,0,13,22,34,40,23,5,0,131,0,0,0,9,7,11,4,0,0,32,0,0,4,11,12,16,8,5,5,56,5,0,5,0,9,14,35,41,51,155,116,64,156,200,272,420,628,359,126,2345
UCL115032,5,11,10,11,17,41,33,18,4,148,0,4,9,19,19,26,24,8,0,115,0,8,16,23,31,40,38,10,0,170,0,0,10,18,28,25,14,0,0,103,0,0,9,15,17,33,15,3,0,93,0,0,3,21,28,17,5,0,0,78,0,0,10,31,35,47,13,7,0,152,0,0,9,12,15,7,0,0,0,43,0,0,0,15,28,21,8,0,0,70,10,7,12,15,13,26,9,5,4,100,116,73,131,213,300,403,306,152,41,1738
UCL115033,8,30,17,19,23,21,21,8,0,153,4,30,40,28,30,24,15,3,3,179,7,30,61,56,46,41,33,11,4,287,0,17,58,48,54,60,21,4,0,270,0,12,66,83,67,37,15,0,0,275,0,3,53,66,56,24,6,0,0,212,0,0,74,181,141,65,8,0,0,482,0,0,11,36,40,16,7,0,0,107,0,0,9,41,51,33,4,0,0,144,9,8,21,18,23,20,21,6,0,124,211,189,455,632,582,461,292,125,31,2979
UCL115034,13,21,32,16,20,13,7,6,0,123,3,9,35,28,28,28,6,0,0,140,0,15,37,21,28,28,11,0,0,143,0,4,30,23,25,21,6,0,0,107,0,6,30,21,24,9,0,0,0,77,0,0,13,14,8,8,4,0,0,46,0,0,26,34,24,20,3,0,0,100,0,0,0,3,0,3,0,0,0,7,0,0,0,4,0,4,0,0,0,15,6,7,26,15,13,10,0,0,0,73,137,111,275,236,229,203,108,42,0,1342
UCL115035,12,29,48,34,26,18,34,14,0,218,5,49,92,57,50,35,19,7,0,322,0,46,102,76,60,68,32,11,4,403,0,24,75,62,41,34,14,0,0,251,0,10,59,53,30,29,6,4,0,199,0,3,38,41,29,23,7,0,0,143,0,4,52,71,63,38,8,0,0,238,0,0,8,7,15,3,0,0,0,30,0,0,3,10,14,11,3,5,0,38,7,8,33,31,20,11,19,14,0,147,249,243,617,529,426,384,349,187,39,3030
UCL115036,14,17,25,19,24,27,62,29,5,233,5,21,26,27,30,41,26,14,3,189,0,13,32,30,56,57,34,15,0,238,0,13,29,22,40,35,19,6,6,158,0,0,27,21,28,41,19,5,0,139,0,0,25,23,45,24,4,4,0,122,0,0,17,23,41,38,13,0,0,127,0,0,0,6,8,3,0,0,0,19,0,0,0,8,13,9,8,0,0,38,0,4,13,6,11,21,20,12,6,100,160,124,250,241,409,538,541,306,83,2655
UCL115037,4,9,7,9,7,12,13,4,0,66,3,13,7,9,19,14,6,0,0,76,0,0,10,18,23,21,12,0,0,84,0,4,7,12,16,3,12,0,0,55,0,3,18,13,13,20,5,0,0,69,0,0,10,14,20,12,0,0,0,51,0,0,8,25,37,28,4,0,0,105,0,0,6,0,0,0,0,0,0,12,0,0,0,5,15,8,0,0,0,32,7,5,9,3,12,5,4,4,3,49,96,56,102,138,180,178,151,55,20,972
UCL115038,7,15,20,13,7,18,18,0,4,104,0,8,20,20,18,13,14,4,0,97,0,7,22,11,11,23,6,8,0,86,0,3,4,8,8,8,4,0,0,50,0,5,10,6,12,10,0,0,0,38,0,0,4,5,3,9,0,0,0,22,0,0,4,16,12,9,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,0,0,14,6,12,17,12,27,22,16,17,7,140,82,70,148,129,153,226,212,143,51,1211
UCL115039,4,13,23,17,14,23,15,7,0,114,8,22,44,24,26,30,21,3,4,171,12,22,48,32,31,32,15,0,0,197,5,16,40,29,17,28,10,0,0,140,0,18,53,32,28,37,13,0,0,177,0,13,38,24,32,24,7,0,0,140,0,14,82,80,44,53,0,0,0,281,0,0,10,18,15,12,0,0,0,54,0,0,10,17,13,9,4,0,0,51,44,31,82,76,61,71,56,39,10,473,190,200,520,420,344,436,304,173,64,2660
UCL115040,3,11,23,12,12,13,16,4,0,94,3,22,22,7,21,18,11,4,0,111,0,13,27,17,21,16,10,5,0,123,0,3,16,16,18,20,8,0,0,87,0,3,24,19,20,22,5,0,0,92,0,0,20,17,21,11,0,0,0,71,0,0,10,26,32,10,5,0,0,78,0,0,0,5,5,3,3,0,0,15,0,0,0,0,4,0,0,0,0,8,0,0,8,7,4,4,9,5,0,43,98,95,201,164,217,182,167,72,11,1222
UCL115041,7,12,43,25,17,22,14,13,3,154,6,20,36,20,26,33,18,11,4,168,0,11,29,26,23,32,20,4,0,155,0,9,38,25,18,20,4,0,0,108,3,0,24,21,18,17,0,3,0,93,0,9,25,13,6,10,4,0,0,68,0,0,27,17,24,19,5,0,0,90,0,0,5,4,0,0,0,0,0,11,0,0,0,3,7,5,9,3,0,28,17,17,42,52,45,43,33,26,15,282,131,124,345,265,260,347,260,201,109,2040
UCL115042,3,14,20,18,10,24,17,8,0,116,3,19,33,20,23,23,14,5,0,143,0,5,30,18,25,27,15,11,0,135,0,4,27,25,24,21,3,0,0,96,0,0,12,16,9,7,5,0,0,58,0,0,7,12,11,8,3,0,0,46,0,5,11,15,21,11,4,0,0,66,0,0,0,5,4,0,0,0,0,13,0,0,0,0,4,6,0,0,0,13,5,4,8,5,12,13,12,19,32,106,103,73,194,168,181,222,220,157,86,1393
UCL115043,3,11,25,23,27,21,27,17,6,158,0,7,29,23,23,23,13,10,0,135,0,16,37,27,29,38,15,6,5,174,0,4,15,7,13,20,6,4,0,73,0,0,13,10,23,12,6,5,4,74,0,0,5,9,4,6,4,0,0,28,0,0,10,14,6,12,0,0,0,45,0,0,0,0,0,5,0,0,0,4,0,0,4,0,5,3,5,0,0,17,17,18,34,33,43,58,73,67,52,389,111,97,247,208,249,316,374,250,159,2010
UCL115044,6,12,23,22,14,14,16,11,9,136,3,9,36,16,28,18,14,11,9,152,5,4,35,22,26,21,11,0,0,135,0,0,30,14,14,19,13,0,0,94,0,0,12,24,11,19,5,0,0,69,0,0,21,5,10,3,4,0,0,43,0,6,12,14,14,9,3,0,0,54,0,0,0,5,3,0,0,0,0,6,0,0,3,5,9,11,0,3,0,36,37,29,56,43,27,43,33,33,15,318,136,122,318,229,251,297,249,155,64,1826
UCL115045,5,13,14,10,14,16,10,0,0,68,0,14,23,13,14,21,7,0,0,94,0,9,15,10,14,21,7,3,0,77,0,0,7,4,8,12,0,0,0,29,0,0,8,7,6,3,0,0,0,29,0,0,5,0,7,4,0,0,0,12,0,0,0,6,3,7,4,0,0,20,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,5,0,0,6,21,12,12,19,25,21,22,25,26,185,80,61,119,104,147,164,156,101,44,983
UCL115046,3,18,35,16,27,18,9,0,0,134,3,18,37,27,32,20,18,0,0,154,0,0,27,22,28,29,12,5,0,130,0,0,30,26,19,7,7,0,0,87,0,0,16,16,21,11,6,0,0,72,0,0,10,13,14,12,0,0,0,52,0,0,5,21,21,16,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,4,0,0,0,15,7,0,17,16,13,11,15,8,0,76,96,72,234,207,240,210,185,71,12,1328
UCL115047,4,17,17,15,15,29,27,16,8,143,0,11,16,26,33,47,14,8,3,167,0,9,22,27,31,43,25,9,4,168,0,6,23,10,20,17,12,6,0,99,0,5,10,15,18,16,14,0,0,78,0,0,12,6,12,10,3,0,0,54,0,0,9,10,9,18,4,0,0,51,0,0,0,0,4,0,0,0,0,13,0,0,0,0,4,5,5,0,0,14,5,0,3,10,16,23,28,24,32,148,122,96,169,188,217,311,319,231,129,1779
UCL115048,11,25,34,23,30,48,65,35,14,284,4,15,36,37,52,63,38,11,4,254,0,18,35,38,39,71,31,14,4,250,0,11,34,22,29,45,12,10,0,161,0,3,29,30,26,23,11,3,0,121,0,3,21,13,21,16,6,0,3,91,0,3,30,30,46,38,11,11,0,167,0,0,0,4,3,3,3,7,0,22,0,0,5,11,14,11,7,4,0,58,0,3,17,20,13,20,19,35,17,149,151,145,349,311,390,598,583,421,158,3106
UCL115049,0,3,3,8,7,8,9,6,0,52,7,7,19,24,14,5,12,3,0,91,0,4,10,19,17,23,4,4,0,82,0,5,9,10,13,13,4,0,0,52,0,0,4,15,11,13,4,3,0,42,0,0,0,7,7,7,0,0,0,21,0,0,6,0,8,13,5,0,0,29,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,6,5,0,0,9,13,8,17,18,12,88,86,45,83,117,113,145,178,105,27,908
UCL115050,6,12,19,27,21,16,11,3,0,128,3,19,28,35,33,20,16,3,0,154,0,11,38,46,39,34,16,0,0,181,0,7,37,42,19,13,4,0,0,118,0,0,20,29,27,15,7,0,0,108,0,0,13,26,27,10,3,0,0,73,0,0,17,48,41,18,4,0,0,119,0,0,7,8,7,3,0,0,0,29,0,0,8,12,12,4,0,0,0,35,3,9,18,12,12,9,8,3,0,73,129,99,238,336,274,203,173,69,14,1533
UCL115051,6,5,22,26,19,27,31,18,11,157,0,6,16,20,25,37,29,7,7,140,0,9,19,16,21,40,26,4,4,140,0,0,12,18,17,24,10,0,3,83,0,0,6,23,15,9,15,3,0,72,0,0,5,6,11,14,0,0,0,37,0,0,6,12,22,18,5,0,0,65,0,0,0,3,6,0,0,0,0,9,0,0,0,3,0,4,5,0,0,17,15,12,23,15,24,37,29,33,72,247,83,38,158,185,211,359,426,236,197,1889
UCL115052,0,10,14,20,11,15,10,6,0,89,0,11,19,12,18,25,6,6,0,98,0,4,21,13,22,19,11,0,0,103,0,5,14,15,10,9,3,0,0,63,0,0,13,6,12,8,0,0,0,46,0,0,14,8,8,5,0,0,0,42,0,0,23,34,36,23,3,0,0,122,0,0,5,10,5,8,0,0,0,28,0,0,0,3,9,0,0,0,0,12,5,8,11,9,10,11,21,14,8,98,97,74,169,183,183,200,180,114,59,1264
UCL115053,3,6,10,14,17,15,22,12,13,112,3,3,12,7,15,22,11,7,5,73,5,0,9,7,15,4,5,3,0,48,0,4,4,4,8,13,5,3,0,38,0,0,9,6,4,7,5,0,3,29,0,0,0,4,3,8,0,0,0,11,0,0,0,8,8,0,0,0,0,22,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,7,9,5,4,6,5,10,10,14,8,68,39,24,71,84,110,173,190,140,51,891
UCL115054,3,14,8,9,12,10,9,5,0,65,5,7,4,8,8,8,4,0,0,45,0,14,20,19,17,10,14,4,0,97,0,8,13,17,10,21,13,0,0,69,0,4,10,11,17,20,5,0,0,71,0,0,0,12,22,12,0,0,0,45,0,0,9,20,28,18,3,0,0,87,0,0,0,5,6,3,0,0,0,20,0,0,3,4,6,5,3,0,0,19,7,0,5,9,3,5,9,3,0,49,83,66,90,134,158,161,139,29,13,878
UCL115055,5,14,17,16,24,27,43,26,3,184,0,21,19,32,32,34,19,6,0,163,0,3,23,23,24,35,17,0,3,137,0,9,14,20,22,18,9,3,0,93,0,0,12,12,19,9,5,4,0,61,0,0,9,7,9,13,5,0,0,35,0,0,9,14,13,11,4,0,0,60,0,0,0,0,5,5,0,0,0,12,0,0,0,0,5,6,3,0,0,21,11,7,11,12,11,11,10,32,14,115,129,94,172,200,239,316,313,253,91,1814
UCL115056,4,13,23,24,40,41,50,23,25,237,0,15,36,49,37,46,36,19,0,240,0,11,28,29,40,48,31,8,3,205,0,4,9,22,34,23,20,4,3,125,0,0,16,17,15,24,13,3,0,80,0,0,10,12,20,15,13,0,0,66,0,0,8,12,25,23,3,6,0,77,0,0,3,3,0,8,0,0,0,13,0,0,0,8,6,0,4,0,0,16,22,16,27,28,37,48,51,49,38,315,160,122,244,268,386,502,581,318,134,2714
UCL115057,4,14,23,33,27,41,48,19,8,215,5,27,32,23,45,40,31,6,6,224,5,4,38,30,45,53,32,3,0,212,0,7,23,26,30,42,12,5,4,142,0,0,18,25,24,24,9,3,3,110,0,0,10,15,23,21,0,0,0,69,0,0,11,26,32,32,0,0,0,98,0,0,3,4,0,5,0,0,0,11,0,0,4,5,10,3,5,0,0,28,10,15,21,32,35,25,40,31,18,228,123,129,239,276,350,483,508,245,132,2471
UCL115058,4,3,7,7,12,23,32,26,14,131,0,6,15,5,11,23,28,18,9,117,0,4,10,12,22,23,29,13,4,112,0,0,8,11,14,22,20,4,0,82,0,0,5,6,7,14,11,0,3,45,0,0,6,3,6,8,3,0,0,31,0,0,6,7,11,17,0,0,0,44,0,0,0,3,0,0,0,0,0,9,0,0,0,4,7,4,7,0,0,18,3,4,4,0,12,23,37,34,28,144,52,42,89,104,138,278,378,280,110,1463
UCL115059,8,10,14,11,16,29,37,16,0,136,4,9,23,16,28,29,27,6,4,143,0,3,13,21,10,29,14,0,0,101,0,0,11,12,22,18,5,0,0,74,0,0,10,9,11,10,3,0,0,42,0,0,6,3,4,7,0,0,0,25,0,3,6,11,12,14,0,0,0,51,0,0,0,0,5,0,0,0,0,11,0,0,0,0,11,5,4,5,0,21,15,8,25,24,29,34,52,57,51,291,104,54,148,158,204,278,311,220,105,1585
UCL115060,26,34,45,30,17,15,12,0,0,186,57,89,79,46,26,30,3,4,0,342,62,71,77,51,37,16,3,0,0,330,35,30,43,35,31,16,5,0,0,185,7,5,38,45,18,13,0,0,0,128,4,8,14,42,22,9,0,0,0,100,0,3,10,32,26,8,4,0,0,86,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,74,100,49,22,18,15,14,7,0,286,385,427,440,363,249,186,123,56,13,2240
UCL115061,4,17,14,10,15,4,8,7,4,80,0,9,16,11,17,11,10,5,0,82,0,3,20,19,22,14,4,4,0,87,0,4,6,6,8,3,0,0,0,33,0,0,5,8,7,3,3,0,0,28,0,0,3,3,3,4,0,0,0,14,0,0,3,5,4,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,7,3,6,14,42,71,154,66,51,118,88,119,138,170,129,119,999
UCL115062,4,18,13,19,6,14,19,0,0,91,3,16,18,15,22,22,3,4,0,99,3,11,21,20,29,20,12,0,0,123,0,8,17,23,18,18,3,0,0,88,0,4,13,18,18,12,3,0,0,72,0,0,10,13,20,13,3,0,0,66,0,0,14,30,20,18,0,0,0,78,0,0,6,3,3,0,0,0,0,14,0,0,3,6,5,9,0,0,0,22,0,3,7,3,6,3,3,9,0,40,78,82,165,183,171,173,130,67,10,1066
UCL115063,3,4,5,11,10,12,7,0,0,55,0,11,13,9,12,11,7,0,0,61,0,6,13,8,14,22,9,0,0,73,0,0,21,7,10,18,14,3,0,82,0,3,14,28,13,14,9,0,0,77,0,0,19,15,16,7,0,0,0,60,0,0,13,35,33,20,8,0,0,101,0,0,3,3,5,5,0,0,0,22,0,0,0,9,16,9,0,0,0,35,5,0,0,8,10,4,0,4,0,27,85,44,121,158,180,153,118,61,13,923
UCL115064,15,25,34,19,36,38,69,40,9,287,4,30,35,34,47,60,51,18,4,279,3,23,52,44,47,65,48,20,4,313,0,11,50,40,51,41,30,8,5,237,0,3,51,46,50,50,18,8,0,226,0,5,32,44,43,38,17,3,0,181,0,8,52,95,81,79,18,6,0,323,0,0,11,34,26,15,9,0,0,91,0,0,7,35,56,26,8,3,0,127,8,13,19,20,29,25,30,38,13,199,274,186,408,500,560,636,620,380,180,3738
UCL115065,3,18,29,18,24,26,28,15,5,172,5,12,34,20,25,36,12,14,3,147,0,8,36,33,40,32,16,9,0,183,0,3,20,13,16,17,10,0,0,83,0,8,12,9,6,18,0,0,4,63,0,3,10,9,14,5,0,0,0,41,0,0,11,13,21,12,4,0,0,58,0,0,0,5,5,0,0,0,0,8,0,0,3,3,5,3,0,0,0,16,24,15,39,33,33,36,41,43,24,287,126,111,257,241,284,330,304,242,95,1992
UCL115066,10,26,42,23,12,23,11,7,0,153,3,23,49,30,34,47,4,4,0,194,3,21,65,49,42,40,12,7,0,235,0,21,39,44,25,31,3,0,0,175,0,11,44,23,39,19,4,0,0,135,0,4,22,39,24,15,6,0,0,113,0,7,27,33,32,40,3,0,0,142,0,0,4,9,14,5,0,0,0,29,0,0,9,3,3,3,0,0,0,15,11,10,15,7,6,15,15,4,3,95,174,173,400,314,300,345,185,68,13,1962
UCL115067,3,14,35,26,30,33,33,26,14,216,6,16,25,33,31,25,19,18,5,177,0,9,18,28,31,31,21,9,3,144,0,3,12,21,15,32,12,0,0,94,0,0,13,12,11,14,6,8,5,60,0,0,3,5,4,6,0,0,0,25,0,0,6,8,24,11,0,0,0,58,0,0,0,0,4,0,0,0,0,9,0,0,0,7,0,0,0,0,0,9,17,9,17,13,6,22,31,23,19,153,116,84,199,232,249,367,423,287,152,2108
